,utility,eiaid,name,label,enddate,demandrateunit,flatdemandunit,uri,sector,description,source,peakkwcapacitymax,peakkwcapacitymin,peakkwhuseagemax,peakkwhuseagemin,voltagecategory,phasewiring
97,"City of Hickman, Kentucky (Utility Company)",8548,"General Power: Commercial/Industrial, Class 54, 55",539f6a45ec4f024411ec8d27,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a45ec4f024411ec8d27,Commercial,,ISU Document,,,,,,
98,Elkhorn Rural Public Pwr Dist,5780,"RATE 16,15 - Urban Commercial General Service-MM THREE",539f6a45ec4f024411ec8d35,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a45ec4f024411ec8d35,Commercial,"AVAILABLE: In the lease towns of Clearwater, Elgin and Ewing served by the District.
APPLICABLE: To commercial and nonresidential establishments for lighting, heating, and power purposes where all service is taken through a single meter at one location, and where the Customer's peak demand does not exceed 100 KW during any two summer months or 200 KW in any two months of a 12 consecutive month period. However, any commercial Customer with a load factor of at least 250 KWH/KW and either: (1) a demand greater than 50KW, or (2) consumption greater than 15,000 KWH during any three months of a 12 consecutive month period shall have the option of being billed under the General Service Demand Rate.",http://www.erppd.com/Rate%20schedules/Commercial.asp,,,,,Secondary,3-Phase
100,"City of Sebewaing, Michigan (Utility Company)",16873,General Service Commercial CO,539f6a45ec4f024411ec8d51,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc7f0ec4f024d2f53e148,Commercial,,"ISU Archives

https://cas.sharepoint.illinoisstate.edu/grants/Sunshot/Lists/RATE%20UPDATE%20Data%20Entry/Attachments/1826/sebawaing%202014.pdf",,,,,,
106,"City of Marshall, Michigan (Utility Company)",11713,Commercial/Industrial Secondary Service C,539f6a46ec4f024411ec8db5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a46ec4f024411ec8db5,Commercial,"Open to any customer desiring lighting and/or secondary power service for 5 kW or more. This rate is not available for street lighting service or for resale purposes.

*Subject to PSCA(Power Supply Cost Adjustment)",http://www.cityofmarshall.com/system/res/140/original/Utility_Rules_1032011.pdf,,5,,,,
107,Connexus Energy,689,Small Commercial,539f6a46ec4f024411ec8db9,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a46ec4f024411ec8db9,Commercial,"Small Commercial

* Available to non-residential customers for either single phase or three phase service whose recorded demand has not exceeded 25 kW for he preceding 12 moths. Service to irrigation accounts is not available under this Tariff. 
* Energy usage (kWh sales) is subject to the Power Cost Adjustment Rider. 
* In certain communities, bills are subject to a surcharge as describe in the Surcharge Rider.",https://www.connexusenergy.com/files/2813/8971/9364/SecIII_CommercialRates.pdf,25,,,,Secondary,Single and 3-Phase
108,"City of Fort Collins, Colorado (Utility Company)",6604,GENERAL SERVICE Single Phase 200+ AMP Service,539f6a54ec4f024411ec8dcf,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a54ec4f024411ec8dcf,Commercial,"This schedule applies to individual commercial and industrial services, served at the established secondary voltage of the City's distribution system; and optionally, for apartments and multiple dwellings in existence prior to January 1, 1980, or as authorized by the Executive Director, where more than one (1) dwelling or single living quarters are served through one (1) meter. Single-phase motors from one (1) to five (5) horsepower may be connected with the approval of the utility. This schedule applies to an individual single or three-phase service with an energy-only meter and for demand metered service with an average metered demand of not greater than twenty-five (25) kilowatts.

*Demand Charge is in kWh

Renewable energy resources, including but not limited to energy generated by the power of wind, may be offered on a voluntary basis to customers at a premium of one and nine-tenths cents ($0.019) per kilowatt hour.",http://www.fcgov.com/utilities/img/site_specific/uploads/erate-schedule.pdf,,,,,,
110,"City of Washington, Utah (Utility Company)",20135,Commercial-Large,539f6a54ec4f024411ec8dd7,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a54ec4f024411ec8dd7,Commercial,no description is available,http://new.washingtoncity.org/services/index.php?sub=Power&page=RateTable,,,,,,
114,"City of Lebanon, Missouri (Utility Company)",10832,LARGE COMMERCIAL,539f6a54ec4f024411ec8df3,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a54ec4f024411ec8df3,Commercial,,http://www.lebanonmissouri.org/DocumentView.aspx?DID=1083,,,,,,
115,"Town of North Attleborough, Massachusetts (Utility Company)",13679,Small General Service Rate CI-6,539f6a54ec4f024411ec8df5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a54ec4f024411ec8df5,Commercial,"Any commercial or industrial customer with an average monthly consumption of less than 10,000 kilowatt hours and an average monthly peak hourly usage of less than 40 kilowatts. 

Customers who are engaged in the business of agriculture or farming as defined by MGL Chapter 128 Section 1A at their service location are eligible for a discount from their distribution service rates. The discount will be calculated at 10% of the retail delivery service charge plus energy charges if applicable to the total service charge rendered to the customer each month.",http://www.naelectric.com/index.php/rates-billing/residential-rates,,,,,,
116,New York Power Authority,15296,40,5771443a5457a3d26aff4c81,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/5771443a5457a3d26aff4c81,Commercial,Firm pumped-storage power and energy service,"http://www.nypa.gov/about/documents.htm
http://www.nypa.gov/about/documents/Rates/OtherCustomers4-16.pdf",,,,,,
118,Oakdale Electric Coop,13936,GENERAL SERVICE THREE PHASE,539f6a54ec4f024411ec8e03,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb479ec4f024bc1dbe99f,Commercial,"GENERAL SERVICE - THREE PHASE
RATE 500

* AVAILABILITY: Available to all three-phase consumers of the Cooperative who meet the following requirements: (a) The measured maximum monthly demand does not exceed 50 kW; (b) The installation of motors or other apparatus on the system shall be governed by board policy #59.
* PURCHASED POWER COST ADJUSTMENT: The above rates shall be increased or decreased the same amount as any increase or decrease in the Cooperative's purchased power costs.",http://www.oakdalerec.com/sites/oakdalerec.coopwebbuilder.com/files/500_general_service_-_three_phase_0.pdf,50,,,,Secondary,3-Phase
126,"City of Clinton, Tennessee (Utility Company)",3812,General Power Rates(greater than 1000kW),539f6a55ec4f024411ec8e39,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a55ec4f024411ec8e39,Commercial,,http://www.clintonutilities.com/ratesgenpowerJun14.htm,5000,1000,,,,
129,"City of Bowie, Texas (Utility Company)",2050,Medium Commercial,539f6a55ec4f024411ec8e49,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a55ec4f024411ec8e49,Commercial,To all commercial customers where service is taken through one (1) meter at one (1) point of delivery and whose monthly peak demand is at least 50 kW and less than or equal to 500 kW. Service will be furnished under this rate schedule subject to the established rules and regulations of the city covering this type of service.,http://library.municode.com/index.aspx?clientId=12260,,,,,,
133,"Borough of Mifflinburg, Pennsylvania (Utility Company)",12523,General Light and Power Secondary Service- 25 kW Minimum,539f6a55ec4f024411ec8e53,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbf6aec4f024c27d890ef,Commercial,,http://www.mifflinburgborough.org/utilities/electricity/electric-rates/,,25,,,,
137,Anchorage Municipal Light and Power,599,General Service: Large At Primary Voltage,539f6a55ec4f024411ec8e6b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a55ec4f024411ec8e6b,Commercial,"Any service with a demand exceeding 20 kW for three consecutive months and metered at Primary Voltage.* The following monthly rates are subject to adjustment each quarter and are based on the total kWh usage.

*Demand Charge = $14.23 per kW of Billing Demand 

The Billing Demand shall be the greater of the following:

a.) The recorded maximum demand for the month, or

b.) Eighty percent (80%) of the maximum demand recorded during the preceding eleven months, or

c.) The contract demand, under a special contract for a customer with on-site generation

*Flat Rate Adjustment = Cost of Power Adjustment ($0.02782) + Regulatory Cost Charge ($0.000492) = $0.028312",http://www.mlandp.com/mlp%20tariff%20rate%20schedules.pdf,,,,,,
138,Provo City Corp (Utility Company),15444,4 (General Service - Primary Voltage),583cb61f5457a3f44d012525,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/583cb61f5457a3f44d012525,Commercial,,http://provopower.org/wp-content/uploads/2016/10/2016-Rate-Summary-Billing-Codes.pdf,,,,,,3-Phase
141,Salem Electric,16555,Schedule 3- Business service- With Demand Meter(V2),539f6a55ec4f024411ec8e7f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a55ec4f024411ec8e7f,Commercial,"Applicable to all commercial and non-residential light, heat, and power members. Energy supplied under this schedule shall not be sub-metered for resale or resold to others.",http://www.salemelectric.com/business/rates.html,,,,,,
146,"City of Gladstone, Michigan (Utility Company)",7265,Rate schedule C1-Commercial Service 1PH,539f6a63ec4f024411ec8eb1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8eb1,Commercial,"Subject to PCAC (Power Cost Adjustment Clause)

*Fixed Monthly Charge includes Energy Optimization ($5.54/meter)",http://www.gladstonemi.org/images/file/Electric%20effectirve%2008-01-2011.pdf,,,,,,
148,"Village of Freeport, New York (Utility Company)",6775,Large Commercial,539f6a63ec4f024411ec8ebd,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8ebd,Commercial,"Summer: June - October

Winter: November - May

* Source 516&#x2013377;&#x20132262;",http://www.freeportelectric.com/Rates/Service_Rates_Large_Commercial.html,,,,,,
150,"City of Breckenridge, Minnesota (Utility Company)",2182,General Service Commercial (Single Phase),539f6a63ec4f024411ec8ec9,,,,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8ec9,Commercial,"Available to any non-residential customer for combined lighting and power service supplied through one meter for lighting, power, water heating, air conditioning and space heating uncontrolled.(Single Phase)

*Summer: May 16 - Sept 15

*Winter: Sept 16 - May 15",http://www.breckenridgemn.net/index.php?id=43,,,,,,Single Phase
156,"East Kentucky Power Coop, Inc",5580,Section C,539f6a63ec4f024411ec8ef1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8ef1,Commercial,Available to all cooperative associations which are or shall be members of EKPC and which execute EKPC approved contracts with the ultimate consumers. The electric power and energy furnished hereunder shall be separately metered for each point of delivery,"http://psc.ky.gov/tariffs/Electric/East%20Kentucky%20Power%20Cooperative,%20Inc/East%20Kentucky%20Power%20Cooperative.pdf",,500,,,,
157,"Alfalfa Electric Coop, Inc (Kansas)",296,General Service Three Phase,539f6a63ec4f024411ec8ef5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8ef5,Commercial,"Available to all consumers of the Cooperative not qualifying for the residential rate, subject to
the established terms and conditions.
No resale, breakdown, auxiliary or supplementary service permitted unless by special contract.
If the consumer implements measures to control his kilowatt demand requirements during the Cooperative's peak period, then the consumer shall receive a credit of $6 per kW for the number of kWs reduced from the Billing Demand to the demand established during the Cooperative's peak period but in no case below the minimum Billing Demand of 5 kW. If special metering is required to determine the peak demand, the consumer shall furnish the necessary equipment.",ISU Documentation,,,,,,
158,"Union Rural Electric Coop, Inc",19501,Commercial Three Phase General Service (300-749 KVA),539f6a63ec4f024411ec8ef9,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8ef9,Commercial,"This rate schedule is applicable to customers served by the Cooperative at a single point of delivery requiring three phase service where the monthly electric power requirements do not exceed 1,500 kW, in accordance with the Cooperative's rules and regulations and where the Customer has executed a written agreement for electric service with the Cooperative.
TYPE OF SERVICE
Three phase, 60 hertz, at the Cooperative's standard secondary voltages.",http://ure.com/wp-content/uploads/2010/11/Rate-T_2013.pdf,,,,,Secondary,3-Phase
161,M J M Electric Cooperative Inc,8824,Large Power (100 KVA & Up 3 Phase),539f6a63ec4f024411ec8f07,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8f07,Commercial,Large Power (100 KVA & Up 3 Phase),Rate Binder #7 (Illinois State University),,,,,,
162,"Town of Windsor, North Carolina (Utility Company)",20811,Large General Service,539f6a63ec4f024411ec8f09,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8f09,Commercial,"This schedule is applicable for the supply of 50 kW or more of alternating current electricity to any Customer.

Demand charges:
First 50 kW of billing demand or less: $410.97 ($8.2194/kW)

Each additional kW of billing demand: $8.22/kW",ISU Documentation,,50,,,,
164,French Broad Elec Member Corp,6784,Commercial Generation: Single Phase,539f6a63ec4f024411ec8f1b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a63ec4f024411ec8f1b,Commercial,,http://www.frenchbroademc.com/rateschedule.cfm,,,,,,
169,Moose Lake Water & Light Comm,12897,CIP,539f6a64ec4f024411ec8f2f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a64ec4f024411ec8f2f,Commercial,,"Rate Binder #10B, Illinois State University.",,,,,,
170,"City of Milton-Freewater, Oregon (Utility Company)",12615,Commercial (Outside City Limits),55c1223c5457a3e80ee28f88,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55c1223c5457a3e80ee28f88,Commercial,,http://mfcity.com/sites/mfcity.com/files/File/electric/Electric%20rates%202015.pdf,,50,,,,
